Brand,Model,Year,image_file,Total megapixels,Max_Exposure_Comp,Normal_Focus_cm,Battery,Sensor resolution,Crop factor,Sensor type,Dimensions,Max aperture,Min_Aperture_F,Min_Shutter_Speed_Sec,White balance presets,Macro_Focus_cm,Optical zoom,USB,Weight_g,Max. aperture (35mm equiv.),Focal length (35mm equiv.),Also known as,Aperture priority,Max. image resolution,Max_Shutter_Speed_Sec,Storage types,Effective megapixels,Megapixels,Max. video resolution,Screen_Size_in,Metering,Digital zoom,Shutter priority,Sensor size,Viewfinder,Screen_Res_Dots,Max_ISO,Dim_L,Dim_W,Dim_H,Supports_4K,Portability_Score,Aperture_Value,LowLight_Score,Video_Score
Panasonic,Lumix DC-S1,2019,data/images/panasonic_lumix-dc-s1.jpg,25.28,5,,Li-ion Battery Pack,6026 x 4017,1.01,CMOS,148.9 x 110 x 96.7 mm,,,60,8,,,USB 3.0 (5 GBit/sec),1021,,,,Yes,6000 x 4000,0.000125,SD/SDHC/SDXC/XQD,24.2,,3840x2160 (60p/30p/24p),3.2,"Multi, Center-weighted, Highlight-weighted, Spot",Yes,Yes,35.6 x 23.8 mm,Electronic,2100000,204800,148.9,110,96.7,TRUE,20,,71.53931958,73.14974902
Panasonic,Lumix DC-S1R,2019,data/images/panasonic_lumix-dc-s1r.jpg,50.44,5,,Li-ion Battery Pack,8423 x 5615,1,CMOS,148.9 x 110 x 96.7 mm,,,60,8,,,USB 3.0 (5 GBit/sec),1020,,,,Yes,8368 x 5584,0.000125,SD/SDHC/SDXC/XQD,47.3,,3840x2160 (60p/30p/24p),3.2,"Multi, Center-weighted, Highlight-weighted, Spot",Yes,Yes,36 x 24 mm,Electronic,2100000,51200,148.9,110,96.7,TRUE,20,,70.65532627,73.14974902
Panasonic,Lumix DC-TZ95,2019,data/images/panasonic_lumix-dc-tz95.jpg,21.1,5,50,Li-ion Battery Pack,5196 x 3907,5.62,CMOS,112 x 68.8 x 41.6 mm,f3.3 - f6.4,3.3,4,5,3,30x,USB 2.0 (480 Mbit/sec),328,f18.5 - f36,24 - 720 mm,Lumix DC-ZS80,Yes,5184 x 3888,0.0005,SD/SDHC/SDXC,20.3,,3840x2160 (30p/24p),3,"Multi, Center-weighted, Spot",Yes,Yes,"1/2.3"" (~ 6.16 x 4.62 mm)",Electronic,1040000,6400,112,68.8,41.6,TRUE,26.25209147,0.303030303,62.54880089,79.55800335
Panasonic,Lumix DC-G95,2019,data/images/panasonic_lumix-dc-g95.jpg,21.77,5,,Li-ion Battery Pack,5196 x 3907,2,CMOS,130.4 x 93.5 x 77.4 mm,,,60,5,,,USB 2.0 (480 Mbit/sec),533,,,"Lumix DC-G90,Lumix DC-G91",Yes,5184 x 3888,0.00025,SD/SDHC/SDXC,20.3,,3840x2160 (30p/24p),3,"Multi, Center-weighted, Spot",Yes,Yes,Four Thirds (17.3 x 13 mm),Electronic,1240000,100,130.4,93.5,77.4,TRUE,20,,27.17930842,71.22559955
Panasonic,Lumix DC-S1H,2019,data/images/panasonic_lumix-dc-s1h.jpg,25.28,5,,Lithium-ion battery,6026 x 4017,1.01,CMOS,151 x 114.2 x 110.4 mm,,,60,5,,,USB 3.0 (5 GBit/sec),1164,,,,Yes,6000 x 4000,0.000125,SD/SDHC/SDXC,24.2,,5952x3968 (24p),3.2,"Multi, Center-weighted, Highlight-weighted, Spot",Yes,Yes,35.6 x 23.8 mm,Electronic,2330000,204800,151,114.2,110.4,FALSE,20,,71.53931958,33.14974902
Panasonic,Lumix DC-FZ1000 II,2019,data/images/panasonic_lumix-dc-fz1000-ii.jpg,20.9,5,30,Li-ion Battery Pack,5492 x 3661,2.73,CMOS,136.2 x 97.2 x 131.5 mm,f2.8 - f4.0,2.8,60,5,3,16x,USB 2.0 (480 Mbit/sec),810,f7.6 - f10.9,25 - 400 mm,,Yes,5472 x 3648,6.25E-05,SD/SDHC/SDXC,20.1,,3840x2160 (30p),3,"Multi, Center-weighted, Spot",Yes,Yes,13.2 x 8.8 mm,Electronic,1240000,25600,136.2,97.2,131.5,TRUE,20,0.357142857,85.55075293,67.43586168
Ricoh,WG-6,2019,data/images/ricoh_wg-6.jpg,,2,50,DB-110 lithium-ion battery,5158 x 3878,5.62,CMOS,118.2 x 65.5 x 33.1 mm,f3.5 - f5.5,3.5,4,6,1,5x,USB 3.0 (5 GBit/sec),246,f19.7 - f30.9,28 - 140 mm,,No,5184 x 3888,0.00025,SD/SDHC/SDXC,,20,3840x2160 (30p),3,"Multi, Center-weighted, Spot",Yes,No,"1/2.3"" (~ 6.16 x 4.62 mm)",,1040000,6400,118.2,65.5,33.1,TRUE,33.93195761,0.285714286,59.98466258,71.22559955
Ricoh,GR III,2019,data/images/ricoh_gr-iii.jpg,,5,10,DB-110 lithium-ion battery,6051 x 4007,1.53,CMOS,109.4 x 61.9 x 33.2 mm,f2.8,2.8,30,8,6,1x,USB 3.0 (5 GBit/sec),257,f4.3,28 mm,,Yes,6000 x 4000,0.00025,SD/SDHC/SDXC,,24.24,1920x1080 (60p/30p/24p),3,"Multi, Center-weighted, Highlight-weighted, Spot",Yes,Yes,23.5 x 15.6 mm,Optical (optional),1036800,102400,109.4,61.9,33.2,FALSE,35.17010597,0.357142857,89.17177914,31.22559955
Ricoh,G900,2019,data/images/ricoh_g900.jpg,,2,50,DB-110 lithium-ion battery,5158 x 3878,5.62,CMOS,118.2 x 65.5 x 33.1 mm,f3.5 - f5.5,3.5,0.25,6,1,5x,USB 3.0 (5 GBit/sec),247,f19.7 - f30.9,28 - 140 mm,,No,5184 x 3888,0.00025,SD/SDHC/SDXC,,20,3840x2160 (30p),3,"Multi, Center-weighted, Spot",Yes,No,"1/2.3"" (~ 6.16 x 4.62 mm)",,1040000,25600,118.2,65.5,33.1,TRUE,33.89849414,0.285714286,65.26213051,71.22559955
Sigma,fp,2019,data/images/sigma_fp.jpg,25.3,5,,BP-51 lithium-ion battery,6075 x 4050,1,CMOS,112.6 x 69.9 x 45.3 mm,,,30,6,,,USB 3.0 (5 GBit/sec),422,,,,Yes,6000 x 4000,0.000125,SD/SDHC/SDXC,24.6,,3840x2160 (30p/�?5p/�?4p),3.2,"Multi, Center-weighted, Spot",,Yes,35.9 x 23.9 mm,,2100000,102400,112.6,69.9,45.3,TRUE,20.58003346,,71.3803681,73.14974902
